"CHILDID","mm1","mm2","mm3","w1","w2","w3","POST","cons","Mob","PRE","RET","wM","wPRE","wRET"
"1101023C",59,0,0,1,0,0,93.38,1,0,31.77,8,-0.129391716925339,-19.849263244065,5.27973336451877
"0007017C",887,0,0,1,0,0,139.79,1,0,92.33,0,-0.188915526449148,-0.296763244065026,-2.72026663548123
"1116012C",67,0,0,1,0,0,102.54,1,0,54.39,3,-0.129391716925339,-5.61354895835074,0.27973336451877
"0511023C",593,0,0,1,0,0,138.72,1,0,87.83,0,-0.166985701887745,5.9144209664613,-2.72026663548123
"0509023C",586,0,0,1,0,0,124.88,1,0,69.25,1,-0.272248859782482,12.0145829097811,-1.72026663548123
"0020014C",202,0,0,1,0,0,145.64,1,0,86.25,0,-0.272248859782482,-13.814888244065,-2.72026663548123
"1122023C",70,0,0,1,0,0,125.4,1,0,52.54,2,-0.172248859782482,-19.545263244065,-0.72026663548123
"0016008C",179,0,0,1,0,0,60.03,1,0,22.72,0,-0.272248859782482,-17.321763244065,-2.72026663548123
"0007018C",887,0,0,1,0,0,139.62,1,0,71.97,0,-0.188915526449148,-0.296763244065026,-2.72026663548123
"0006010C",767,0,0,1,0,0,138.75,1,0,55.85,5,0.000478412944791118,-3.5510814258832,2.27973336451877
"0010018C",1,0,0,1,0,0,149.22,1,0,55.08,1,-0.129391716925339,-15.8414061012079,-1.72026663548123
"0014001C",166,0,0,1,0,0,142.46,1,0,71.14,0,-0.272248859782482,-4.15426324406502,-2.72026663548123
"0011009C",57,0,0,1,0,0,116.71,1,0,54.24,1,-0.272248859782482,-3.44715798090713,-1.72026663548123
"0511013C",593,0,0,1,0,0,129.06,1,0,88.16,0,-0.166985701887745,5.9144209664613,-2.72026663548123
"0011020C",57,0,0,1,0,0,155.22,1,0,82.58,1,-0.272248859782482,-3.44715798090713,-1.72026663548123
"0523011C",637,0,0,1,0,0,105.24,1,0,59.87,3,0.127751140217518,-5.95392991073169,0.27973336451877
"0014002C",166,0,0,1,0,0,104.16,1,0,45.81,0,-0.272248859782482,-4.15426324406502,-2.72026663548123
"0020013C",202,0,0,1,0,0,118.87,1,0,25.26,0,-0.272248859782482,-13.814888244065,-2.72026663548123
"0511018C",593,0,0,1,0,0,116.81,1,0,65.2,0,-0.166985701887745,5.9144209664613,-2.72026663548123
"0011008C",57,0,0,1,0,0,118.29,1,0,49.61,1,-0.272248859782482,-3.44715798090713,-1.72026663548123
"0007023C",887,0,0,1,0,0,141,1,0,70.35,0,-0.188915526449148,-0.296763244065026,-2.72026663548123
"0016004C",179,0,0,1,0,0,98.81,1,0,44.42,0,-0.272248859782482,-17.321763244065,-2.72026663548123
"1107024C",62,0,0,1,0,0,138.22,1,0,74.22,1,-0.272248859782482,5.30873675593498,-1.72026663548123
"0020019C",202,0,0,1,0,0,135.75,1,0,68.71,0,-0.272248859782482,-13.814888244065,-2.72026663548123
"0011010C",57,0,0,1,0,0,128.24,1,0,48.63,1,-0.272248859782482,-3.44715798090713,-1.72026663548123
"0527022C",646,0,0,1,0,0,123.35,1,0,60.96,1,0.102751140217518,-7.47051324406502,-1.72026663548123
"0011019C",57,0,0,1,0,0,101.93,1,0,58.66,1,-0.272248859782482,-3.44715798090713,-1.72026663548123
"0011002C",57,0,0,1,0,0,147.93,1,0,65.18,1,-0.272248859782482,-3.44715798090713,-1.72026663548123
"0011013C",57,0,0,1,0,0,160.92,1,0,90.66,1,-0.272248859782482,-3.44715798090713,-1.72026663548123
"0029004C",284,0,0,1,0,0,139.86,1,0,36.47,0,-0.16113774867137,-3.56259657739835,-2.72026663548123
"0020008C",202,0,0,1,0,0,118.38,1,0,49.44,0,-0.272248859782482,-13.814888244065,-2.72026663548123
"0242004C",252,0,0,1,0,0,89.66,1,0,54.64,1,-0.272248859782482,5.42883199403021,-1.72026663548123
"0523001C",637,0,0,1,0,0,126.04,1,0,84.52,3,0.127751140217518,-5.95392991073169,0.27973336451877
"0529012C",651,0,0,1,0,0,127.46,1,0,61,0,-0.209748859782482,4.66136175593497,-2.72026663548123
"0529013C",651,0,0,1,0,0,128.02,1,0,62.16,0,-0.209748859782482,4.66136175593497,-2.72026663548123
"0023007C",250,0,0,1,0,0,104.38,1,0,48.12,3,-0.213425330370717,0.0307367559349743,0.27973336451877
"0511021C",593,0,0,1,0,0,133.21,1,0,62.17,0,-0.166985701887745,5.9144209664613,-2.72026663548123
"0026006C",264,0,0,1,0,0,128.72,1,0,53.6,1,-0.0500266375602594,-4.86481879962058,-1.72026663548123
"0033020C",359,0,0,1,0,0,142.12,1,0,81.07,9,-0.213425330370717,-0.256322067594432,6.27973336451877
"0033006C",359,0,0,1,0,0,122.36,1,0,51.49,9,-0.213425330370717,-0.256322067594432,6.27973336451877
"0529003C",651,0,0,1,0,0,139.8,1,0,117.16,0,-0.209748859782482,4.66136175593497,-2.72026663548123
"0011006C",57,0,0,1,0,0,115.36,1,0,56.15,1,-0.272248859782482,-3.44715798090713,-1.72026663548123
"0529008C",651,0,0,1,0,0,130.22,1,0,84.19,0,-0.209748859782482,4.66136175593497,-2.72026663548123
"0010008C",1,0,0,1,0,0,61.12,1,0,26.34,1,-0.129391716925339,-15.8414061012079,-1.72026663548123
"0029007C",284,0,0,1,0,0,111.51,1,0,65.54,0,-0.16113774867137,-3.56259657739835,-2.72026663548123
"0509021C",586,0,0,1,0,0,153.61,1,0,88.48,1,-0.272248859782482,12.0145829097811,-1.72026663548123
"0034018C",364,0,0,1,0,0,85,1,0,50.53,5,-0.0222488597824816,-7.76926324406502,2.27973336451877
"0520019C",629,0,0,1,0,0,73.06,1,0,33.83,0,-0.0904306779642998,-18.369263244065,-2.72026663548123
"0033016C",359,0,0,1,0,0,149.4,1,0,62.69,9,-0.213425330370717,-0.256322067594432,6.27973336451877
"0515013C",612,0,0,1,0,0,127.84,1,0,72.57,0,-0.16113774867137,-3.14037435517614,-2.72026663548123
"0036008C",742,0,0,1,0,0,139.41,1,0,67.36,3,-0.272248859782482,-1.11926324406502,0.27973336451877
"0020001C",202,0,0,1,0,0,115.21,1,0,57.49,0,-0.272248859782482,-13.814888244065,-2.72026663548123
"0036011C",742,0,0,1,0,0,90.26,1,0,55.66,3,-0.272248859782482,-1.11926324406502,0.27973336451877
"0020003C",202,0,0,1,0,0,142.51,1,0,69.9,0,-0.272248859782482,-13.814888244065,-2.72026663548123
"0511012C",593,0,0,1,0,0,113.67,1,0,61.16,0,-0.166985701887745,5.9144209664613,-2.72026663548123
"1108008C",63,0,0,1,0,0,130.82,1,0,50.77,0,0.0848939973603756,-10.7271203869222,-2.72026663548123
"0020005C",202,0,0,1,0,0,125.66,1,0,35.91,0,-0.272248859782482,-13.814888244065,-2.72026663548123
"0029006C",284,0,0,1,0,0,117.97,1,0,48.43,0,-0.16113774867137,-3.56259657739835,-2.72026663548123
"0037014C",389,0,0,1,0,0,121.78,1,0,68.11,15,-0.0904306779642998,-3.3519905167923,12.2797333645188
"0037016C",389,0,0,1,0,0,112.05,1,0,64.31,15,-0.0904306779642998,-3.3519905167923,12.2797333645188
"0029012C",284,0,0,1,0,0,145.65,1,0,75.44,0,-0.16113774867137,-3.56259657739835,-2.72026663548123
"0028008C",276,0,0,1,0,0,98.19,1,0,46.52,0,-0.188915526449148,15.0274034226016,-2.72026663548123
"0011011C",57,0,0,1,0,0,128.43,1,0,53.65,1,-0.272248859782482,-3.44715798090713,-1.72026663548123
"0011012C",57,0,0,1,0,0,126.63,1,0,55.21,1,-0.272248859782482,-3.44715798090713,-1.72026663548123
"0037044C",389,0,0,1,0,0,130.23,1,0,62.4,15,-0.0904306779642998,-3.3519905167923,12.2797333645188
"0011014C",57,0,0,1,0,0,122.36,1,0,69.67,1,-0.272248859782482,-3.44715798090713,-1.72026663548123
"0020022C",202,0,0,1,0,0,127.33,1,0,36.17,0,-0.272248859782482,-13.814888244065,-2.72026663548123
"0020004C",202,0,0,1,0,0,86.3,1,0,29.52,0,-0.272248859782482,-13.814888244065,-2.72026663548123
"0029002C",284,0,0,1,0,0,96.3,1,0,50.88,0,-0.16113774867137,-3.56259657739835,-2.72026663548123
"0033009C",359,0,0,1,0,0,124.95,1,0,70.18,9,-0.213425330370717,-0.256322067594432,6.27973336451877
"0511014C",593,0,0,1,0,0,139.02,1,0,63.06,0,-0.166985701887745,5.9144209664613,-2.72026663548123
"0511016C",593,0,0,1,0,0,131.48,1,0,63.4,0,-0.166985701887745,5.9144209664613,-2.72026663548123
"0534003C",659,0,0,1,0,0,152.41,1,0,73.66,0,-0.272248859782482,18.954486755935,-2.72026663548123
"0038023C",397,0,0,1,0,0,77.26,1,0,22.38,0,-0.172248859782482,-18.101263244065,-2.72026663548123
"0038024C",397,0,0,1,0,0,116.5,1,0,24.39,0,-0.172248859782482,-18.101263244065,-2.72026663548123
"0523003C",637,0,0,1,0,0,113.71,1,0,70.89,3,0.127751140217518,-5.95392991073169,0.27973336451877
"0033017C",359,0,0,1,0,0,121.86,1,0,64.34,9,-0.213425330370717,-0.256322067594432,6.27973336451877
"0033018C",359,0,0,1,0,0,147.62,1,0,76.45,9,-0.213425330370717,-0.256322067594432,6.27973336451877
"0546010C",665,0,0,1,0,0,104.35,1,0,56.56,0,-0.181339768873391,-11.2038086986105,-2.72026663548123
"0005004C",550,0,0,1,0,0,117.13,1,0,60.58,2,0.227751140217518,-19.6659299107317,-0.72026663548123
"0033007C",359,0,0,1,0,0,115.69,1,0,55.01,9,-0.213425330370717,-0.256322067594432,6.27973336451877
"0033008C",359,0,0,1,0,0,153.24,1,0,78.49,9,-0.213425330370717,-0.256322067594432,6.27973336451877
"0523016C",637,0,0,1,0,0,89.58,1,0,46.77,3,0.127751140217518,-5.95392991073169,0.27973336451877
"0041008C",423,0,0,1,0,0,135.36,1,0,73.8,0,0.0354434479098261,4.68304444824268,-2.72026663548123
"0028003C",276,0,0,1,0,0,141.53,1,0,60.15,0,-0.188915526449148,15.0274034226016,-2.72026663548123
"0028005C",276,0,0,1,0,0,157.44,1,0,88.61,0,-0.188915526449148,15.0274034226016,-2.72026663548123
"0041012C",423,0,0,1,0,0,149.98,1,0,70.29,0,0.0354434479098261,4.68304444824268,-2.72026663548123
"0041014C",423,0,0,1,0,0,160.26,1,0,78.97,0,0.0354434479098261,4.68304444824268,-2.72026663548123
"0016001C",179,0,0,1,0,0,140.61,1,0,75.1,0,-0.272248859782482,-17.321763244065,-2.72026663548123
"0036007C",378,0,0,1,0,0,143.36,1,0,63.43,2,-0.272248859782482,-11.4425965773984,-0.72026663548123
"0043002C",469,0,0,1,0,0,133.3,1,0,49.19,15,0.0610844735508517,-8.52992991073169,12.2797333645188
"0043003C",469,0,0,1,0,0,102.25,1,0,57.16,15,0.0610844735508517,-8.52992991073169,12.2797333645188
"0023012C",250,0,0,1,0,0,129.56,1,0,67.93,3,-0.213425330370717,0.0307367559349743,0.27973336451877
"0010022C",1,0,0,1,0,0,117.48,1,0,60.37,1,-0.129391716925339,-15.8414061012079,-1.72026663548123
"0010024C",1,0,0,1,0,0,121.32,1,0,46.07,1,-0.129391716925339,-15.8414061012079,-1.72026663548123
"0037004C",389,0,0,1,0,0,86.35,1,0,45.79,15,-0.0904306779642998,-3.3519905167923,12.2797333645188
"0006022C",767,0,0,1,0,0,127.71,1,0,57.43,5,0.000478412944791118,-3.5510814258832,2.27973336451877
"0007002C",887,0,0,1,0,0,124.01,1,0,54.43,0,-0.188915526449148,-0.296763244065026,-2.72026663548123
"0007004C",887,0,0,1,0,0,138.62,1,0,88.19,0,-0.188915526449148,-0.296763244065026,-2.72026663548123
"0007006C",887,0,0,1,0,0,105.86,1,0,48.53,0,-0.188915526449148,-0.296763244065026,-2.72026663548123
"0538003C",662,0,0,1,0,0,117.09,1,0,50.73,2,-0.118402705936328,0.593044448242672,-0.72026663548123
"0029013C",284,0,0,1,0,0,135.78,1,0,40.9,0,-0.16113774867137,-3.56259657739835,-2.72026663548123
"0023023C",250,0,0,1,0,0,119.04,1,0,69.91,3,-0.213425330370717,0.0307367559349743,0.27973336451877
"0020018C",202,0,0,1,0,0,52.38,1,0,16.45,0,-0.272248859782482,-13.814888244065,-2.72026663548123
"0007016C",887,0,0,1,0,0,122.08,1,0,42.23,0,-0.188915526449148,-0.296763244065026,-2.72026663548123
"0527020C",646,0,0,1,0,0,151.37,1,0,61.95,1,0.102751140217518,-7.47051324406502,-1.72026663548123
"0045003C",508,0,0,1,0,0,160.79,1,0,68.94,2,-0.216693304226926,11.8668478670461,-0.72026663548123
"0007022C",887,0,0,1,0,0,144.3,1,0,67.39,0,-0.188915526449148,-0.296763244065026,-2.72026663548123
"0021001C",222,0,0,1,0,0,118.5,1,0,55.05,0,-0.272248859782482,-2.98926324406502,-2.72026663548123
"0529006C",651,0,0,1,0,0,127.29,1,0,75.96,0,-0.209748859782482,4.66136175593497,-2.72026663548123
"0551003C",682,0,0,1,0,0,134.03,1,0,79.97,3,-0.20082028835391,-8.37640610120788,0.27973336451877
"0011022C",57,0,0,1,0,0,97.8,1,0,33.13,1,-0.272248859782482,-3.44715798090713,-1.72026663548123
"0045009C",508,0,0,1,0,0,139.25,1,0,77.26,2,-0.216693304226926,11.8668478670461,-0.72026663548123
"0511017C",593,0,0,1,0,0,115.18,1,0,69.2,0,-0.166985701887745,5.9144209664613,-2.72026663548123
"0045011C",508,0,0,1,0,0,116.83,1,0,46.43,2,-0.216693304226926,11.8668478670461,-0.72026663548123
"0045014C",508,0,0,1,0,0,124.82,1,0,60.55,2,-0.216693304226926,11.8668478670461,-0.72026663548123
"0511020C",593,0,0,1,0,0,137.55,1,0,73.64,0,-0.166985701887745,5.9144209664613,-2.72026663548123
"0045017C",508,0,0,1,0,0,162.75,1,0,110.32,2,-0.216693304226926,11.8668478670461,-0.72026663548123
"0045018C",508,0,0,1,0,0,162.82,1,0,85.69,2,-0.216693304226926,11.8668478670461,-0.72026663548123
"0041004C",423,0,0,1,0,0,119.91,1,0,58.1,0,0.0354434479098261,4.68304444824268,-2.72026663548123
"0523014C",637,0,0,1,0,0,51.08,1,0,23.53,3,0.127751140217518,-5.95392991073169,0.27973336451877
"0026014C",264,0,0,1,0,0,123.75,1,0,63.54,1,-0.0500266375602594,-4.86481879962058,-1.72026663548123
"0045022C",508,0,0,1,0,0,138.19,1,0,54.37,2,-0.216693304226926,11.8668478670461,-0.72026663548123
"0026015C",264,0,0,1,0,0,101.94,1,0,50.48,1,-0.0500266375602594,-4.86481879962058,-1.72026663548123
"0010007C",1,0,0,1,0,0,111.97,1,0,55.11,1,-0.129391716925339,-15.8414061012079,-1.72026663548123
"0046006C",524,0,0,1,0,0,114.07,1,0,43.38,2,-0.272248859782482,-10.3109299107317,-0.72026663548123
"0046009C",524,0,0,1,0,0,142.53,1,0,63.08,2,-0.272248859782482,-10.3109299107317,-0.72026663548123
"0046011C",524,0,0,1,0,0,104.91,1,0,50.81,2,-0.272248859782482,-10.3109299107317,-0.72026663548123
"0006003C",767,0,0,1,0,0,119.61,1,0,92.61,5,0.000478412944791118,-3.5510814258832,2.27973336451877
"0555014C",691,0,0,1,0,0,127.4,1,0,49.66,15,-0.272248859782482,-2.24854895835074,12.2797333645188
"0555016C",691,0,0,1,0,0,100.84,1,0,42.01,15,-0.272248859782482,-2.24854895835074,12.2797333645188
"0555018C",691,0,0,1,0,0,129.78,1,0,52.07,15,-0.272248859782482,-2.24854895835074,12.2797333645188
"0028011C",276,0,0,1,0,0,103.38,1,0,62.89,0,-0.188915526449148,15.0274034226016,-2.72026663548123
"0028012C",276,0,0,1,0,0,144.31,1,0,89.01,0,-0.188915526449148,15.0274034226016,-2.72026663548123
"0037001C",389,0,0,1,0,0,130.28,1,0,73.03,15,-0.0904306779642998,-3.3519905167923,12.2797333645188
"0028014C",276,0,0,1,0,0,151.23,1,0,85.17,0,-0.188915526449148,15.0274034226016,-2.72026663548123
"0555024C",691,0,0,1,0,0,138.35,1,0,52.81,15,-0.272248859782482,-2.24854895835074,12.2797333645188
"0558001C",699,0,0,1,0,0,140.93,1,0,61.26,0,-0.272248859782482,0.153236755934977,-2.72026663548123
"0558002C",699,0,0,1,0,0,128.39,1,0,63.47,0,-0.272248859782482,0.153236755934977,-2.72026663548123
"0558006C",699,0,0,1,0,0,131.59,1,0,63.56,0,-0.272248859782482,0.153236755934977,-2.72026663548123
"0029009C",284,0,0,1,0,0,164.42,1,0,100.3,0,-0.16113774867137,-3.56259657739835,-2.72026663548123
"0020016C",202,0,0,1,0,0,92.44,1,0,51.63,0,-0.272248859782482,-13.814888244065,-2.72026663548123
"0558016C",699,0,0,1,0,0,153.39,1,0,72.27,0,-0.272248859782482,0.153236755934977,-2.72026663548123
"0558021C",699,0,0,1,0,0,150.85,1,0,67.89,0,-0.272248859782482,0.153236755934977,-2.72026663548123
"0049001C",624,0,0,1,0,0,117.71,1,0,47.8,15,0.394417806884185,3.76407008926831,12.2797333645188
"0033003C",359,0,0,1,0,0,134.01,1,0,59.69,9,-0.213425330370717,-0.256322067594432,6.27973336451877
"0033005C",359,0,0,1,0,0,147.2,1,0,64.97,9,-0.213425330370717,-0.256322067594432,6.27973336451877
"0559006C",703,0,0,1,0,0,110.01,1,0,54.96,0,-0.205582193115815,-2.96126324406502,-2.72026663548123
"0045005C",508,0,0,1,0,0,158.82,1,0,71.9,2,-0.216693304226926,11.8668478670461,-0.72026663548123
"0049020C",624,0,0,1,0,0,114.13,1,0,45.85,15,0.394417806884185,3.76407008926831,12.2797333645188
"0051002C",587,0,0,1,0,0,120.53,1,0,58.91,0,-0.272248859782482,6.44007008926831,-2.72026663548123
"0045008C",508,0,0,1,0,0,141.71,1,0,81.5,2,-0.216693304226926,11.8668478670461,-0.72026663548123
"0051006C",587,0,0,1,0,0,125.36,1,0,61.27,0,-0.272248859782482,6.44007008926831,-2.72026663548123
"0051007C",587,0,0,1,0,0,159.92,1,0,97.01,0,-0.272248859782482,6.44007008926831,-2.72026663548123
"0011024C",57,0,0,1,0,0,154.01,1,0,60.49,1,-0.272248859782482,-3.44715798090713,-1.72026663548123
"0013001C",420,0,0,1,0,0,137.07,1,0,68.45,2,-0.272248859782482,5.82073675593498,-0.72026663548123
"0051011C",587,0,0,1,0,0,120.14,1,0,68.79,0,-0.272248859782482,6.44007008926831,-2.72026663548123
"0051012C",587,0,0,1,0,0,160.75,1,0,81.28,0,-0.272248859782482,6.44007008926831,-2.72026663548123
"0051013C",587,0,0,1,0,0,130.97,1,0,53.6,0,-0.272248859782482,6.44007008926831,-2.72026663548123
"0051016C",587,0,0,1,0,0,136.22,1,0,80.14,0,-0.272248859782482,6.44007008926831,-2.72026663548123
"0512021C",820,0,0,1,0,0,115.55,1,0,63.08,2,-0.272248859782482,0.450736755934976,-0.72026663548123
"0520006C",629,0,0,1,0,0,91.38,1,0,33.39,0,-0.0904306779642998,-18.369263244065,-2.72026663548123
"0241019C",251,0,0,1,0,0,91.34,1,0,57.75,5,-0.272248859782482,-9.85426324406502,2.27973336451877
"0051024C",587,0,0,1,0,0,134.93,1,0,70.72,0,-0.272248859782482,6.44007008926831,-2.72026663548123
"0051026C",587,0,0,1,0,0,115.83,1,0,47.15,0,-0.272248859782482,6.44007008926831,-2.72026663548123
"0520012C",629,0,0,1,0,0,77.45,1,0,32.24,0,-0.0904306779642998,-18.369263244065,-2.72026663548123
"0520013C",629,0,0,1,0,0,114.13,1,0,50.45,0,-0.0904306779642998,-18.369263244065,-2.72026663548123
"0052006C",628,0,0,1,0,0,119.24,1,0,58.95,1,-0.188915526449148,1.94907008926831,-1.72026663548123
"0052007C",628,0,0,1,0,0,127.13,1,0,75.06,1,-0.188915526449148,1.94907008926831,-1.72026663548123
"0034023C",364,0,0,1,0,0,119.13,1,0,56,5,-0.0222488597824816,-7.76926324406502,2.27973336451877
"0052011C",628,0,0,1,0,0,139.36,1,0,80.48,1,-0.188915526449148,1.94907008926831,-1.72026663548123
"0052012C",628,0,0,1,0,0,126.07,1,0,69.84,1,-0.188915526449148,1.94907008926831,-1.72026663548123
"0016009C",179,0,0,1,0,0,118.5,1,0,38.99,0,-0.272248859782482,-17.321763244065,-2.72026663548123
"0052014C",628,0,0,1,0,0,116.11,1,0,49.07,1,-0.188915526449148,1.94907008926831,-1.72026663548123
"0028013C",276,0,0,1,0,0,143.61,1,0,86.5,0,-0.188915526449148,15.0274034226016,-2.72026663548123
"0052019C",628,0,0,1,0,0,122.36,1,0,55.61,1,-0.188915526449148,1.94907008926831,-1.72026663548123
"0052020C",628,0,0,1,0,0,134.41,1,0,82.8,1,-0.188915526449148,1.94907008926831,-1.72026663548123
"0037005C",389,0,0,1,0,0,141.45,1,0,70.02,15,-0.0904306779642998,-3.3519905167923,12.2797333645188
"0037008C",389,0,0,1,0,0,107.66,1,0,42.93,15,-0.0904306779642998,-3.3519905167923,12.2797333645188
"0053002C",654,0,0,1,0,0,157.62,1,0,73.44,5,-0.177010764544386,5.97740342260165,2.27973336451877
"0053003C",654,0,0,1,0,0,163.09,1,0,91.48,5,-0.177010764544386,5.97740342260165,2.27973336451877
"0558013C",699,0,0,1,0,0,129.14,1,0,66.37,0,-0.272248859782482,0.153236755934977,-2.72026663548123
"0538004C",662,0,0,1,0,0,133.58,1,0,78.54,2,-0.118402705936328,0.593044448242672,-0.72026663548123
"0020017C",202,0,0,1,0,0,134.89,1,0,39.82,0,-0.272248859782482,-13.814888244065,-2.72026663548123
"0053008C",654,0,0,1,0,0,154.8,1,0,100.87,5,-0.177010764544386,5.97740342260165,2.27973336451877
"0053009C",654,0,0,1,0,0,145.29,1,0,79.34,5,-0.177010764544386,5.97740342260165,2.27973336451877
"0053010C",654,0,0,1,0,0,130.12,1,0,65.52,5,-0.177010764544386,5.97740342260165,2.27973336451877
"0038009C",397,0,0,1,0,0,110.36,1,0,35.37,0,-0.172248859782482,-18.101263244065,-2.72026663548123
"0559007C",703,0,0,1,0,0,129.11,1,0,60,0,-0.205582193115815,-2.96126324406502,-2.72026663548123
"0038016C",397,0,0,1,0,0,102.3,1,0,39.37,0,-0.172248859782482,-18.101263244065,-2.72026663548123
"0053014C",654,0,0,1,0,0,139.12,1,0,46.28,5,-0.177010764544386,5.97740342260165,2.27973336451877
"0011021C",57,0,0,1,0,0,121.08,1,0,45.08,1,-0.272248859782482,-3.44715798090713,-1.72026663548123
"0053017C",654,0,0,1,0,0,115.59,1,0,42.25,5,-0.177010764544386,5.97740342260165,2.27973336451877
"0539040C",663,0,0,1,0,0,130.95,1,0,61.5,15,-0.272248859782482,-5.61003247483426,12.2797333645188
"0053019C",654,0,0,1,0,0,152.8,1,0,57.68,5,-0.177010764544386,5.97740342260165,2.27973336451877
"0053021C",654,0,0,1,0,0,143.87,1,0,56.53,5,-0.177010764544386,5.97740342260165,2.27973336451877
"0039022C",782,0,0,1,0,0,139.44,1,0,66.67,2,-0.272248859782482,4.04073675593498,-0.72026663548123
"0053024C",654,0,0,1,0,0,114.41,1,0,57.59,5,-0.177010764544386,5.97740342260165,2.27973336451877
"0282020C",278,0,0,1,0,0,143.98,1,0,49.43,2,0.464593245480676,1.64757886119813,-0.72026663548123
"0584006C",762,0,0,1,0,0,152.46,1,0,60.43,1,-0.0722488597824816,9.70073675593498,-1.72026663548123
"0584007C",762,0,0,1,0,0,135.12,1,0,63.83,1,-0.0722488597824816,9.70073675593498,-1.72026663548123
"0584010C",762,0,0,1,0,0,142.93,1,0,69.38,1,-0.0722488597824816,9.70073675593498,-1.72026663548123
"0546018C",665,0,0,1,0,0,120.47,1,0,42.56,0,-0.181339768873391,-11.2038086986105,-2.72026663548123
"0041007C",423,0,0,1,0,0,160.44,1,0,103.39,0,0.0354434479098261,4.68304444824268,-2.72026663548123
"0584013C",762,0,0,1,0,0,158.34,1,0,107.81,1,-0.0722488597824816,9.70073675593498,-1.72026663548123
"0546025C",665,0,0,1,0,0,118.73,1,0,47.94,0,-0.181339768873391,-11.2038086986105,-2.72026663548123
"0509019C",586,0,0,1,0,0,143.04,1,0,71.9,1,-0.272248859782482,12.0145829097811,-1.72026663548123
"0584019C",762,0,0,1,0,0,100.06,1,0,52.25,1,-0.0722488597824816,9.70073675593498,-1.72026663548123
"0584021C",762,0,0,1,0,0,136.71,1,0,62.58,1,-0.0722488597824816,9.70073675593498,-1.72026663548123
"0023005C",250,0,0,1,0,0,129,1,0,66.34,3,-0.213425330370717,0.0307367559349743,0.27973336451877
"0584024C",762,0,0,1,0,0,143.98,1,0,96.75,1,-0.0722488597824816,9.70073675593498,-1.72026663548123
"0587001C",763,0,0,1,0,0,145.93,1,0,57.79,1,-0.0500266375602594,5.09851453371275,-1.72026663548123
"0587005C",763,0,0,1,0,0,164.52,1,0,87.04,1,-0.0500266375602594,5.09851453371275,-1.72026663548123
"1165010C",92,0,0,1,0,0,160.73,1,0,101.56,0,-0.272248859782482,15.0880094832077,-2.72026663548123
"0036023C",378,0,0,1,0,0,131.35,1,0,47.85,2,-0.272248859782482,-11.4425965773984,-0.72026663548123
"0006015C",767,0,0,1,0,0,140.39,1,0,44.67,5,0.000478412944791118,-3.5510814258832,2.27973336451877
"0023016C",250,0,0,1,0,0,144.01,1,0,73.55,3,-0.213425330370717,0.0307367559349743,0.27973336451877
"0023017C",250,0,0,1,0,0,156.64,1,0,73.18,3,-0.213425330370717,0.0307367559349743,0.27973336451877
"0056005C",705,0,0,1,0,0,139.31,1,0,55.1,0,-0.138915526449148,3.81740342260165,-2.72026663548123
"0056007C",705,0,0,1,0,0,157.68,1,0,97.4,0,-0.138915526449148,3.81740342260165,-2.72026663548123
"0056008C",705,0,0,1,0,0,66.76,1,0,26.07,0,-0.138915526449148,3.81740342260165,-2.72026663548123
"0053005C",654,0,0,1,0,0,147.2,1,0,87.84,5,-0.177010764544386,5.97740342260165,2.27973336451877
"0023022C",250,0,0,1,0,0,138.57,1,0,64.49,3,-0.213425330370717,0.0307367559349743,0.27973336451877
"0056013C",705,0,0,1,0,0,125.11,1,0,49.9,0,-0.138915526449148,3.81740342260165,-2.72026663548123
"0007010C",887,0,0,1,0,0,102.75,1,0,51.57,0,-0.188915526449148,-0.296763244065026,-2.72026663548123
"1119009C",69,0,0,1,0,0,131.76,1,0,64.39,1,-0.272248859782482,6.25769327767411,-1.72026663548123
"0056019C",705,0,0,1,0,0,143.28,1,0,113.57,0,-0.138915526449148,3.81740342260165,-2.72026663548123
"0056021C",705,0,0,1,0,0,121.74,1,0,65.98,0,-0.138915526449148,3.81740342260165,-2.72026663548123
"0056022C",705,0,0,1,0,0,137.74,1,0,58.1,0,-0.138915526449148,3.81740342260165,-2.72026663548123
"0056023C",705,0,0,1,0,0,159.58,1,0,88.8,0,-0.138915526449148,3.81740342260165,-2.72026663548123
"0057001C",728,0,0,1,0,0,136.33,1,0,50.91,3,-0.272248859782482,7.35547359804024,0.27973336451877
"0057002C",728,0,0,1,0,0,134.64,1,0,65.65,3,-0.272248859782482,7.35547359804024,0.27973336451877
"0057003C",728,0,0,1,0,0,159.81,1,0,65.36,3,-0.272248859782482,7.35547359804024,0.27973336451877
"0057004C",728,0,0,1,0,0,156.71,1,0,83.76,3,-0.272248859782482,7.35547359804024,0.27973336451877
"0057005C",728,0,0,1,0,0,150.9,1,0,81.76,3,-0.272248859782482,7.35547359804024,0.27973336451877
"0057007C",728,0,0,1,0,0,118.92,1,0,61.55,3,-0.272248859782482,7.35547359804024,0.27973336451877
"0057008C",728,0,0,1,0,0,143.86,1,0,66.47,3,-0.272248859782482,7.35547359804024,0.27973336451877
"0057009C",728,0,0,1,0,0,151.89,1,0,85.19,3,-0.272248859782482,7.35547359804024,0.27973336451877
"0057012C",728,0,0,1,0,0,129.92,1,0,61.81,3,-0.272248859782482,7.35547359804024,0.27973336451877
